time|cpu|net_usage
1618941361.3821714|0.0|627145
1618941362.385054|-0.0|627145
1618941363.3875206|0.2|627145
1618941364.3909295|0.0|627145
1618941365.3930094|0.0|627145
1618941366.3950963|0.0|627145
1618941367.3971095|0.0|627145
1618941368.3993394|0.0|627145
1618941369.4018245|0.2|627145
1618941370.4043243|0.0|627145
1618941371.4067397|0.0|627145
1618941372.4090538|0.2|627145
1618941373.4112017|0.0|627145
1618941374.4143176|0.2|627145
1618941375.417057|0.0|627145
1618941376.420632|0.0|627145
1618941377.4226532|0.2|627145
1618941378.424783|0.0|627145
1618941379.4267857|0.0|627145
1618941380.4288685|0.0|627145
1618941381.43065|0.0|627145
1618941382.4327393|0.2|627145
1618941383.4349453|0.0|627145
1618941384.4372556|0.0|627145
1618941385.439073|0.0|627145
1618941386.4410121|0.0|627145
1618941387.443069|0.2|627145
1618941388.4450116|0.0|627145
1618941389.4467368|0.0|627145
1618941390.4486153|0.0|627145
1618941391.4506168|0.0|627145
1618941392.452649|0.0|627145
1618941393.454633|0.0|627145
1618941394.4566498|0.0|627145
1618941395.4584403|0.0|627145
1618941396.4614453|0.0|627145
1618941397.4650393|0.0|627145
1618941398.4684136|0.7|627145
1618941399.4710097|0.0|627145
1618941400.47336|0.2|627145
1618941401.475723|0.0|627145
1618941402.4784393|0.0|627145
1618941403.4813786|0.2|627145
1618941404.4838395|0.0|627145
1618941405.4863784|0.5|627145
1618941406.48884|0.0|627145
1618941407.491521|0.2|627145
1618941408.4939096|0.0|627145
1618941409.4975305|0.5|627145
1618941410.5005674|0.0|627145
1618941411.5028896|0.0|627145
1618941412.5052235|0.2|627145
1618941413.5076702|0.0|627145
1618941414.5100577|0.0|627145
1618941415.512695|0.2|627145
1618941416.5158958|0.2|627145
1618941417.5193238|0.0|627145
1618941418.5230155|0.0|627145
1618941419.525695|0.2|627145
1618941420.5284252|0.0|627145
